feature,importance,fold,seed
T2DRrate_max_vsT2_ALL,0.0,2.0,42.0
T2DRrate_mean_ALL,0.0,2.0,42.0
T2DRrate_mean_vsT2_ALL,0.0,2.0,42.0
T2DRrate_median_ALL,0.0,2.0,42.0
T2DRrate_median_vsT2_ALL,0.0,2.0,42.0
T2DRrate_min_ALL,0.0,2.0,42.0
T2DRrate_min_vsT2_ALL,0.0,2.0,42.0
T2FGA_max_ALL,0.0,2.0,42.0
T2FGA_max_vsT2_ALL,0.0,2.0,42.0
T2FGA_mean_ALL,0.0,2.0,42.0
T2FGA_mean_vsT2_ALL,0.0,2.0,42.0
T2FGA_median_ALL,0.0,2.0,42.0
T2FGA_median_vsT2_ALL,0.0,2.0,42.0
T2FGA_min_ALL,0.0,2.0,42.0
T2FGA_min_vsT2_ALL,0.0,2.0,42.0
T2FGM3_max_ALL,0.0,2.0,42.0
T2FGM3_max_vsT2_ALL,0.0,2.0,42.0
T2FGM3_mean_ALL,0.0,2.0,42.0
T2FGM3_mean_vsT2_ALL,0.0,2.0,42.0
T2FGM3_median_ALL,0.0,2.0,42.0
T2FGM3_median_vsT2_ALL,0.0,2.0,42.0
T2FGM3_min_ALL,0.0,2.0,42.0
T2FGM3_min_vsT2_ALL,0.0,2.0,42.0
T2FGM_max_ALL,0.0,2.0,42.0
T2FGM_max_vsT2_ALL,0.6,2.0,42.0
T2FGM_mean_ALL,0.0,2.0,42.0
T2FGM_mean_vsT2_ALL,2.2,2.0,42.0
T2FGM_median_ALL,0.0,2.0,42.0
T2FGM_median_vsT2_ALL,1.2,2.0,42.0
T2FGM_min_ALL,0.0,2.0,42.0
T2FGM_min_vsT2_ALL,1.4,2.0,42.0
T2FTA_max_ALL,0.0,2.0,42.0
T2FTA_max_vsT2_ALL,0.0,2.0,42.0
T2FTA_mean_ALL,0.0,2.0,42.0
T2FTA_mean_vsT2_ALL,0.0,2.0,42.0
T2FTA_median_ALL,0.0,2.0,42.0
T2FTA_median_vsT2_ALL,0.0,2.0,42.0
T2FTA_min_ALL,0.0,2.0,42.0
T2FTA_min_vsT2_ALL,0.0,2.0,42.0
T2FTM_max_ALL,0.0,2.0,42.0
T2FTM_max_vsT2_ALL,0.0,2.0,42.0
T2FTM_mean_ALL,0.0,2.0,42.0
T2FTM_mean_vsT2_ALL,0.0,2.0,42.0
T2FTM_median_ALL,0.0,2.0,42.0
T2FTM_median_vsT2_ALL,0.0,2.0,42.0
